Date,Temperature,Humidity,WindSpeed,Pressure
2023-01-01,14.0,70.0,5.0,1000.0
2023-01-02,14.285714285714286,71.42857142857143,5.714285714285714,1001.4285714285714
2023-01-03,14.571428571428571,72.85714285714286,6.428571428571429,1002.8571428571429
2023-01-04,14.857142857142858,74.28571428571429,7.142857142857142,1004.2857142857143
2023-01-05,15.142857142857142,75.71428571428571,7.857142857142858,1005.7142857142857
2023-01-06,15.428571428571429,77.14285714285714,8.571428571428571,1007.1428571428571
2023-01-07,15.714285714285714,78.57142857142857,9.285714285714285,1008.5714285714286
2023-01-08,16.0,80.0,10.0,1010.0
2023-01-09,16.285714285714285,81.42857142857143,10.714285714285715,1011.4285714285714
2023-01-10,16.57142857142857,82.85714285714286,11.428571428571429,1012.8571428571429
2023-01-11,16.857142857142858,84.28571428571429,12.142857142857142,1014.2857142857143
2023-01-12,17.142857142857142,85.71428571428572,12.857142857142858,1015.7142857142857
2023-01-13,17.428571428571427,87.14285714285714,13.571428571428571,1017.1428571428571
2023-01-14,17.714285714285715,88.57142857142857,14.285714285714286,1018.5714285714286
2023-01-15,18.0,90.0,15.0,1020.0
2023-01-16,18.0,90.0,15.0,1020.0
2023-01-17,17.714285714285715,88.57142857142857,14.285714285714286,1018.5714285714286
2023-01-18,17.428571428571427,87.14285714285714,13.571428571428571,1017.1428571428571
2023-01-19,17.142857142857142,85.71428571428571,12.857142857142858,1015.7142857142857
2023-01-20,16.857142857142858,84.28571428571429,12.142857142857142,1014.2857142857143
2023-01-21,16.571428571428573,82.85714285714286,11.428571428571429,1012.8571428571429
2023-01-22,16.285714285714285,81.42857142857143,10.714285714285715,1011.4285714285714
2023-01-23,16.0,80.0,10.0,1010.0
2023-01-24,15.714285714285715,78.57142857142857,9.285714285714285,1008.5714285714286
2023-01-25,15.428571428571429,77.14285714285714,8.571428571428571,1007.1428571428571
2023-01-26,15.142857142857142,75.71428571428571,7.857142857142857,1005.7142857142857
2023-01-27,14.857142857142858,74.28571428571428,7.142857142857142,1004.2857142857143
2023-01-28,14.571428571428571,72.85714285714286,6.428571428571429,1002.8571428571429
2023-01-29,14.285714285714286,71.42857142857143,5.7142857142857135,1001.4285714285714
2023-01-30,14.0,70.0,5.0,1000.0
